Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance
41:28.2,1.17,53.276604,1005.197144,0.217514,-0.442551,-0.806885,0.945635,34.020893,-118.283316,44.473145,45.977504,-43.628571,0
41:28.3,1.17,53.276604,1005.197144,0.113358,-0.344101,-0.624054,0.721595,34.020893,-118.283316,45.708801,45.03218,-42.880981,0
41:28.4,1.17,53.276604,1005.197144,0.149582,-0.417572,-0.719177,0.84496,34.020893,-118.283316,48.399017,44.404263,-44.870983,0
41:28.5,1.17,53.276604,1005.197144,0.066483,-0.545593,-0.927872,1.078442,34.020893,-118.283316,48.399017,44.404263,-42.300339,0
41:28.6,1.17,53.276604,1005.196838,0.026306,-0.536362,-1.093231,1.218003,34.020893,-118.283316,48.399017,44.404263,-44.407169,0
41:28.7,1.17,53.276604,1005.196838,0.117569,-0.411011,-1.145798,1.222949,34.020893,-118.283316,48.399017,44.404263,-40.065269,0
41:28.8,1.17,53.276604,1005.196838,0.075897,-0.305191,-0.891525,0.945367,34.020893,-118.283316,45.58427,42.580857,-42.148983,0
41:28.9,1.17,53.276604,1005.196838,0.003464,-0.239807,-0.732056,0.770341,34.020893,-118.283316,44.157158,42.084069,-39.435745,0
41:29.0,1.17,53.276604,1005.196838,0.044968,-0.358444,-0.704178,0.791436,34.020893,-118.283316,42.77153,41.742047,-42.091358,0
41:29.1,1.17,53.276604,1005.196838,0.034515,-0.504242,-0.915314,1.045586,34.020893,-118.283316,42.77153,41.742047,-41.957153,0
41:29.2,1.2,52.947868,1005.196838,-0.021576,-0.447815,-1.204483,1.285217,34.020901,-118.283307,45.586632,40.983652,-44.601776,0
41:29.3,1.2,52.947868,1005.196838,-0.031448,-0.344177,-1.17955,1.22914,34.020901,-118.283307,46.954433,40.599893,-41.966312,0
41:29.4,1.2,52.947868,1005.196838,-0.055893,-0.249924,-0.873199,0.90998,34.020901,-118.283307,46.954433,40.599893,-43.449928,0
41:29.5,1.2,52.947868,1005.196838,-0.08017,-0.237762,-0.717697,0.760294,34.020901,-118.283307,48.210915,41.005924,-44.433167,0
41:29.6,1.2,52.947868,1005.196838,-0.005478,-0.382538,-0.692795,0.79141,34.020901,-118.283307,49.324112,40.764068,-45.425373,0
41:29.7,1.2,52.947868,1005.196838,-0.01828,-0.498199,-0.905457,1.033629,34.020901,-118.283307,49.324112,40.764068,-41.642502,0
41:29.8,1.2,52.947868,1005.196838,-0.070236,-0.463486,-1.166946,1.257583,34.020901,-118.283307,50.476501,40.895479,-41.111408,0
41:29.9,1.2,52.947868,1005.196838,0.085007,-0.355637,-1.157837,1.214203,34.020901,-118.283307,50.476501,40.895479,-43.421886,0
41:30.0,1.2,52.947868,1005.196838,0.087845,-0.17247,-0.898453,0.919065,34.020901,-118.283307,48.652161,41.304367,-44.522106,0
41:30.1,1.2,52.863152,1005.196838,-0.090607,-0.171341,-0.835663,0.857846,34.020908,-118.283299,46.390575,41.262171,-46.02319,0
41:30.2,1.2,52.863152,1005.196838,0.01059,-0.30864,-0.729752,0.792406,34.020908,-118.283299,45.078823,41.289845,-43.652466,0
41:30.3,1.2,52.863152,1005.196838,-0.015381,-0.398727,-0.900085,0.984568,34.020908,-118.283299,45.078823,41.289845,-44.274834,0
41:30.4,1.2,52.863152,1005.196838,-0.019516,-0.370255,-1.172302,1.229537,34.020908,-118.283299,46.282112,41.36126,-44.726868,0
41:30.5,1.2,52.863152,1005.192108,0.001236,-0.347427,-1.176865,1.227077,34.020908,-118.283299,47.925331,41.55309,-46.356876,0
41:30.6,1.2,52.863152,1005.192108,-0.062775,-0.199265,-0.940872,0.963788,34.020908,-118.283299,49.019623,41.635122,-43.173824,0
41:30.7,1.2,52.863152,1005.192108,-0.09903,-0.182693,-0.848236,0.87332,34.020908,-118.283299,50.416122,42.172028,-41.26207,0
41:30.8,1.2,52.863152,1005.192108,0.015762,-0.349121,-0.656494,0.743719,34.020908,-118.283299,50.416122,42.172028,-43.771141,0
41:30.9,1.2,52.863152,1005.192108,-0.029633,-0.458939,-0.870834,0.984812,34.020908,-118.283299,51.451744,42.817962,-44.983677,0
41:31.0,1.2,52.863152,1005.192108,-0.055893,-0.472382,-1.130905,1.226872,34.020908,-118.283299,52.526981,43.147285,-40.464222,0
41:31.1,1.2,52.863152,1005.192108,0.057129,-0.410629,-1.06958,1.147119,34.020908,-118.283299,52.526981,43.147285,-41.633339,0
41:31.2,1.17,52.805412,1005.192108,0.067505,-0.230728,-0.878067,0.910381,34.020915,-118.283291,49.892632,43.841696,-41.45557,0
41:31.3,1.17,52.805412,1005.192108,-0.00824,-0.237289,-0.863983,0.896014,34.020915,-118.283291,48.291252,43.734581,-43.106575,0
41:31.4,1.17,52.805412,1005.181732,0.016663,-0.311768,-0.723877,0.788337,34.020915,-118.283291,46.974953,44.464879,-44.338421,0
41:31.5,1.17,52.805412,1005.181732,0.035461,-0.433395,-0.842377,0.947991,34.020915,-118.283291,45.829762,44.687327,-45.928696,0
41:31.6,1.17,52.805412,1005.181732,0.010254,-0.500732,-1.083008,1.193207,34.020915,-118.283291,45.687107,45.365091,-43.163898,0
41:31.7,1.17,52.805412,1005.181732,0.147232,-0.666275,-1.056061,1.257324,34.020915,-118.283291,46.828308,45.895939,-45.233902,0
41:31.8,1.17,52.805412,1005.181732,0.147736,-0.403793,-0.923615,1.018793,34.020915,-118.283291,48.157257,46.067118,-43.40205,0
41:31.9,1.17,52.805412,1005.181732,0.044998,-0.370422,-0.821396,0.90218,34.020915,-118.283291,49.203522,45.968794,-42.413532,0
41:32.0,1.17,52.805412,1005.181732,0.106293,-0.425217,-0.604523,0.746696,34.020915,-118.283291,49.203522,45.968794,-44.15778,0
41:32.1,1.17,52.805412,1005.181732,0.11232,-0.551941,-0.745132,0.934065,34.020915,-118.283291,50.226196,46.108323,-41.54269,0
41:32.2,1.17,52.534843,1005.181732,0.273514,-0.644852,-0.896683,1.137842,34.020922,-118.283283,51.750732,46.000214,-43.315929,0